[codegraph] reusing existing index at /home/sarocu/Projects/tinybook/.codegraph/index.json
[codegraph] startup index: 25 files (parsed 0, reused 25, failed 0)
[codegraph] watching /home/sarocu/Projects/tinybook (debounce 300ms); press Ctrl-C to stop
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
[codegraph] flushed: indexed 1, removed 0, failed 0
